VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD
정림사지박물관 정림사지5층석탑,충남,부여군,2.0,60.0,4.416666666666667,0.0833333333333333,0.8333333333333334,4.166666666666667,충남 부여군 부여읍 정림로 83,충남 부여군 부여읍 동남리 364,126.9133215,36.27930262
여수 해양공원,전남,여수시,1.0,58.5,4.0,0.4,1.0,4.0,,전남 여수시 종화동,127.7450122,34.7384232
낙화암,충남,부여군,2.0,45.0,4.0,0.3333333333333333,0.8333333333333334,3.6666666666666665,,충남 부여군 부여읍 쌍북리 678-2,126.9122562,36.29236541
목포근대역사관 1관,전남,목포시,2.0,40.3448275862069,4.120689655172414,0.1034482758620689,1.0862068965517242,3.896551724137931,전남 목포시 영산로29번길 6,전남 목포시 대의동2가 1-5,126.3820996,34.78753237
일제강점기 군산역사관,전북,군산시,2.0,42.0,3.933333333333333,0.0,0.9333333333333332,3.466666666666667,전북 군산시 동국사길 21,전북 군산시 금광동 165-8,126.7078371,35.98230586
초원사진관,전북,군산시,4.0,41.42857142857143,4.095238095238095,0.3333333333333333,1.2857142857142858,3.761904761904762,전북 군산시 구영2길 12-1,전북 군산시 신창동 1-5,126.7083716,35.98773979
땅끝전망대,전남,해남군,1.0,50.0,3.6666666666666665,0.0,2.0,3.6666666666666665,전남 해남군 송지면 땅끝마을길 100,전남 해남군 송지면 송호리 1158-5,126.5250481,34.29471845
독립기념관,충남,천안시,2.0,117.88732394366195,4.647887323943662,0.4225352112676056,1.5352112676056338,4.563380281690141,충남 천안시 동남구 목천읍 독립기념관로 1,충남 천안시 동남구 목천읍 남화리 230-1,127.2228083,36.78366949
청연루,전북,전주시,1.0,43.84615384615385,4.307692307692308,0.0769230769230769,1.4615384615384617,4.076923076923077,,전북 전주시 완산구 동서학동 940-2,127.153213,35.81067317
명암저수지,충북,청주시,7.0,54.0,3.4,0.2,1.2,3.4,,충북 청주시 상당구 용담동 283,127.5114294,36.64080705
안면암,충남,태안군,2.0,72.0,3.6,0.0,1.6,3.6,충남 태안군 안면읍 여수해길 198-160,충남 태안군 안면읍 정당리 178-7,126.3750626,36.55934803
상화원,충남,보령시,1.0,77.14285714285714,4.285714285714286,0.0,2.952380952380953,4.142857142857143,충남 보령시 남포면 남포방조제로 408-52,충남 보령시 남포면 월전리 산 154-1,126.5385549,36.27727583
산막이옛길,충북,괴산군,1.0,127.5,4.25,0.125,1.75,4.25,,충북 괴산군 칠성면 사은리 517,127.8334417,36.75347969
국립익산박물관,전북,익산시,2.0,63.333333333333336,4.666666666666667,0.0,1.6666666666666667,4.444444444444445,전북 익산시 금마면 미륵사지로 362,전북 익산시 금마면 기양리 104-1,127.0287075,36.0115445
격포항 수산시장,전북,부안군,4.0,34.285714285714285,4.142857142857143,0.2857142857142857,2.0,4.142857142857143,전북 부안군 변산면 격포중앙길 28-4,전북 부안군 변산면 격포리 788-30,126.4702461,35.62214154
은행나무길,충남,아산시,1.0,68.57142857142857,4.333333333333333,0.0952380952380952,1.1904761904761905,4.238095238095238,,충남 아산시 염치읍 백암리 502-3,127.01813,36.80004005
청남대,충북,청주시,1.0,111.8181818181818,4.363636363636363,0.1212121212121212,1.2121212121212122,4.181818181818182,충북 청주시 상당구 문의면 청남대길 646,충북 청주시 상당구 문의면 신대리 산 26-1,127.4917654,36.46284608
화순국화향연,전남,화순군,1.0,52.5,4.625,0.25,2.0,4.625,전남 화순군 화순읍 진각로 85,전남 화순군 화순읍 광덕리 88,126.9846179,35.05884031
순창발효테마파크,전북,순창군,6.0,115.0,4.0,0.0,2.1666666666666665,3.8333333333333335,전북 순창군 순창읍 장류로 55,전북 순창군 순창읍 백산리 580,127.112315,35.36731457
사직공원 전망타워,광주,남구,1.0,40.0,4.222222222222222,0.2222222222222222,0.7777777777777778,3.333333333333333,광주 남구 사직길 49-1,광주 남구 양림동 315,126.911527,35.14163935
정림사지박물관,충남,부여군,2.0,52.5,4.5,0.0625,1.25,4.375,충남 부여군 부여읍 정림로 83,충남 부여군 부여읍 동남리 364,126.9152094,36.27912373
라제통문,전북,무주군,1.0,30.0,4.166666666666667,0.1666666666666666,0.8333333333333334,3.5,,전북 무주군 설천면 소천리 1501,127.7961578,35.99651936
장미갤러리,전북,군산시,2.0,42.85714285714285,4.428571428571429,0.0,0.2857142857142857,4.285714285714286,전북 군산시 해망로 232,전북 군산시 장미동 18-2,126.712488,35.99015421
광주호호수생태원,광주,북구,7.0,75.0,3.375,0.125,1.125,3.5,광주 북구 충효샘길 7,광주 북구 충효동 439-1,127.0011517,35.18420768
2022계룡세계군문화엑스포,충남,계룡시,6.0,150.0,3.2,0.4,2.0,3.2,,충남 계룡시 신도안면 정장리 16,127.237103,36.30676543
온양온천랜드,충남,아산시,13.0,170.0,4.333333333333333,0.3333333333333333,1.0,4.166666666666667,충남 아산시 삼동로28번길 46,충남 아산시 모종동 583-7,127.0157686,36.78119268
말랭이마을,전북,군산시,7.0,49.09090909090909,4.0,0.0909090909090909,1.3636363636363635,3.909090909090909,,전북 군산시 신흥동 15-162,126.7048176,35.98680644
도담삼봉관광지,충북,단양군,1.0,49.5,4.1,0.25,2.0,3.9,충북 단양군 매포읍 삼봉로 644-13,충북 단양군 매포읍 하괴리 84-1,128.341829,37.00094467
말티재 전망대,충북,보은군,1.0,37.05882352941177,4.352941176470588,0.1176470588235294,1.8235294117647056,4.294117647058823,,충북 보은군 장안면 장재리 산 4-14,127.789325,36.49906977
신리성지,충남,당진시,2.0,53.18181818181818,4.545454545454546,0.0,1.181818181818182,4.227272727272728,충남 당진시 합덕읍 평야6로 135,충남 당진시 합덕읍 신리 62-3,126.7710859,36.76266282
여미랑,전북,군산시,2.0,45.0,4.5,0.0,0.8333333333333334,4.5,전북 군산시 구영6길 13,전북 군산시 월명동 16-8,126.7082672,35.98505387
대청댐전망대,충북,청주시,1.0,42.0,4.2,0.6,0.6,4.0,충북 청주시 상당구 문의면 대청호반로 206,충북 청주시 상당구 문의면 덕유리 629-12,127.4850583,36.47898254
